ReefID,LABEL_ID,GBRMPAFeatureName,LAT,LON,GBRMP,Within250kmOfPort,Shallow,ShallowestDepth
1236,14-028,U/N Reef,-14.1745,144.7351,1,0,1,-1.406999946
1237,14-029,MacLear Reef,-14.209,144.2459,1,0,1,-0.134000003
1238,14-098a,Miles Reef (North),-14.5408,144.9217,1,0,1,-4.037000179
1239,14-098b,Miles Reef (South),-14.5444,144.9186,1,0,1,-2.221999884
1240,14-099,Leggatt Reef,-14.5485,144.8702,1,0,1,-0.116999999
1241,14-100,U/N Reef,-14.5508,144.8502,1,0,1,-0.970000029
1242,14-101,Sinclair-Morris Reef,-14.5536,144.9052,1,0,1,0.116999999
1243,14-102,Hampton Reef,-14.5632,144.8895,1,0,1,-0.001
1244,14-103,Beatrice Reef,-14.5741,144.9273,1,0,1,-1.146000028
1245,15-012,Boulder Reef,-15.4139,145.4314,1,1,1,-0.407000005
1246,15-013,Egret Reef,-15.4741,145.4175,1,1,1,-0.372000009
1247,15-014a,Blackbird Patches (North),-15.4777,145.2898,1,1,NA,NA
1248,15-014b,Blackbird Patches (South),-15.4839,145.2887,1,1,NA,NA
1249,15-015,Tilbrook Bank,-15.0061,145.5111,1,1,NA,NA
1250,15-016,Gull Reef,-15.0049,145.5692,1,1,1,-0.731000006
1251,15-017a,U/N Reef,-15.034,145.6959,1,1,1,-0.280999988
1252,15-017b,U/N Reef,-15.0453,145.7028,1,1,1,-6.357999802
1253,15-017c,U/N Reef,-15.0242,145.6795,1,1,1,-7.815000057
1254,13-080,U/N Reef,-13.6382,143.5567,1,0,1,0.948000014
1255,13-081,Fife Reef,-13.6532,143.7306,1,0,1,0.723999977
1256,13-083,Hay Island Reef,-13.6694,143.6905,1,0,1,0.171000004
1257,13-084,U/N Reef,-13.7021,143.8173,1,0,1,-0.624000013
1258,13-085,Frenchman Reef,-13.7294,143.5644,1,0,1,-0.838999987
1259,13-086,Poulsen Reef,-13.7372,143.6388,1,0,NA,NA
1260,14-031,Blackwood Reef,-14.2175,144.2219,1,0,1,-0.022
1261,14-032,Denham Reef,-14.2219,144.2679,1,0,1,-0.115000002
1262,14-033a,Rocky Islets Reef (North),-14.2562,144.3479,1,0,1,-0.177000001
1263,14-033b,Rocky Islets Reef (South),-14.271,144.3561,1,0,1,-0.174999997
